epoch,train_loss,class_0_auroc,class_0_sensitivity,class_0_specificity,class_0_f1,class_0_accuracy,class_1_auroc,class_1_sensitivity,class_1_specificity,class_1_f1,class_1_accuracy,class_2_auroc,class_2_sensitivity,class_2_specificity,class_2_f1,class_2_accuracy,class_3_auroc,class_3_sensitivity,class_3_specificity,class_3_f1,class_3_accuracy,class_4_auroc,class_4_sensitivity,class_4_specificity,class_4_f1,class_4_accuracy,class_5_auroc,class_5_sensitivity,class_5_specificity,class_5_f1,class_5_accuracy,class_6_auroc,class_6_sensitivity,class_6_specificity,class_6_f1,class_6_accuracy,macro_auroc,macro_f1,val_loss
0,0.9924167580834985,0.6755000704324553,0.6612903225806451,0.5895196506550219,0.4426450742240216,0.6064792758456408,0.7775812700016843,0.6416666666666667,0.7225871652349671,0.2064343163538874,0.7179609337779895,0.8829504422634193,0.7805343511450382,0.8304761904761905,0.6816666666666666,0.8180085755121487,0.833277072905754,0.7992957746478874,0.7041322314049587,0.43320610687022904,0.717008099094807,0.672518121651434,0.4842105263157895,0.7485029940119761,0.14263565891472868,0.7365412101000477,0.7752907973929585,0.38095238095238093,0.8747544204322201,0.14035087719298245,0.8599333015721772,0.8762085228229745,0.7583333333333333,0.831733198585144,0.33455882352941174,0.8275369223439734,0.7847608996386686,0.34021393196456107,0.9689020170604348
1,0.9378425744185322,0.6832778258507233,0.8004032258064516,0.4379288833437305,0.44258639910813824,0.523582658408766,0.7970860704059289,0.7333333333333333,0.6932794340576048,0.21595092024539878,0.6955693187232015,0.8867011995637949,0.8740458015267175,0.7631746031746032,0.6760147601476014,0.7908527870414483,0.841914018546541,0.8697183098591549,0.6584022038567493,0.4291920069504778,0.6869938065745593,0.664155898728858,0.5052631578947369,0.6901197604790419,0.1256544502617801,0.6817532158170557,0.7350391368073097,0.4444444444444444,0.8428290766208252,0.1362530413625304,0.8308718437351119,0.8934268148896749,0.8,0.8312278928751895,0.3490909090909091,0.8294425917103383,0.7859429949704043,0.3392489267381194,0.9461893237960401
2,0.9151203058950129,0.692841547099189,0.7076612903225806,0.5720524017467249,0.45792563600782776,0.6040971891376846,0.8053099208354387,0.8333333333333334,0.6351692774128348,0.21231422505307856,0.6464983325393044,0.894148794377802,0.8606870229007634,0.7803174603174603,0.6828160484481454,0.800381133873273,0.8452692740464827,0.8309859154929577,0.6898071625344353,0.4358264081255771,0.708909004287756,0.7042651539027209,0.6421052631578947,0.6357285429141717,0.13769751693002258,0.6360171510242972,0.7576870302803506,0.49206349206349204,0.8172888015717092,0.13304721030042918,0.8075273939971415,0.9024002021222841,0.8416666666666667,0.8009095502779181,0.3284552845528455,0.8032396379228204,0.8002745603806097,0.34115461848827516,0.9212676782787499
3,0.8946676141965251,0.7050244752782082,0.6270161290322581,0.6668746101060512,0.4638329604772558,0.6574559313959029,0.7999326259053393,0.7,0.729156139464376,0.22702702702702704,0.7274892806098142,0.8918029807342784,0.8625954198473282,0.7923809523809524,0.693783576362241,0.8099094807050977,0.8485042486322895,0.852112676056338,0.6754820936639119,0.43408071748878924,0.6993806574559314,0.7232745036243302,0.43157894736842106,0.8313373253493014,0.1729957805907173,0.8132444020962363,0.7872969095955343,0.47619047619047616,0.8644400785854617,0.16260162601626016,0.8527870414483087,0.9121062826343271,0.8583333333333333,0.8281960586154623,0.36589698046181174,0.8299190090519295,0.8097060037720439,0.36003123834630035,0.9166382829764731
4,0.8817344983408658,0.7059621073390618,0.6895161290322581,0.6169681846537741,0.47107438016528924,0.6341114816579323,0.807566953006569,0.75,0.7049014653865588,0.22670025188916876,0.7074797522629823,0.9008590815461044,0.8740458015267175,0.7758730158730158,0.6861423220973782,0.800381133873273,0.8624995149963139,0.852112676056338,0.7305785123966942,0.4768472906403941,0.7470223916150548,0.7083464649648071,0.6105263157894737,0.7020958083832335,0.15466666666666667,0.6979514054311577,0.7928945645055665,0.49206349206349204,0.8285854616895875,0.1399548532731377,0.8184849928537399,0.9053983493346808,0.8,0.8352703385548257,0.35424354243542433,0.8332539304430682,0.8119324336704434,0.3585184724524942,0.8964010062474418
5,0.8674409684778582,0.7050502585877286,0.717741935483871,0.5932626325639426,0.4734042553191489,0.6226774654597428,0.8191679299309416,0.825,0.6988377968671046,0.24294478527607363,0.7060505002382087,0.8985532533624137,0.8969465648854962,0.7695238095238095,0.6927044952100221,0.8013339685564554,0.8586718659061809,0.8591549295774648,0.7195592286501378,0.47058823529411764,0.7384468794664126,0.7023505620338271,0.43157894736842106,0.7999001996007984,0.1527001862197393,0.7832301095759886,0.7830791779711229,0.42857142857142855,0.8605108055009824,0.1443850267379679,0.8475464506908051,0.9060720902812868,0.8666666666666667,0.8191005558362809,0.35738831615120276,0.8218199142448785,0.8104207340105001,0.36201647145832466,0.9173307840230068
6,0.8541000357944825,0.7083052441993842,0.594758064516129,0.7018091079226451,0.4649330181245075,0.6765126250595521,0.8098618831059458,0.6916666666666667,0.7473471450227388,0.2361308677098151,0.7441638875655073,0.8997285835453774,0.8416030534351145,0.8266666666666667,0.7124394184168013,0.8303954263935207,0.8509021068560121,0.7676056338028169,0.7542699724517906,0.459915611814346,0.7560743211052883,0.7383391112511819,0.5368421052631579,0.8073852295409182,0.19172932330827067,0.7951405431157694,0.7808962484797455,0.47619047619047616,0.8536345776031434,0.1534526854219949,0.8423058599333015,0.9117230924709449,0.8666666666666667,0.8398180899444164,0.3844731977818854,0.8413530252501191,0.8142508957012274,0.371867731796803,0.9278403369229767
7,0.8378610777015882,0.7117425995613065,0.6774193548387096,0.6350592638802246,0.47424135497529996,0.6450690805145307,0.806893212059963,0.8083333333333333,0.6604345629105609,0.21822272215973004,0.6688899475940924,0.9001769053677451,0.8835877862595419,0.7688888888888888,0.685418208734271,0.7975226298237256,0.8617254491134132,0.852112676056338,0.7096418732782369,0.45963912630579296,0.728918532634588,0.729036663515075,0.35789473684210527,0.8737524950099801,0.17801047120418848,0.8504049547403526,0.8253500483362959,0.4603174603174603,0.8659135559921415,0.1589041095890411,0.8537398761314912,0.9117609903991915,0.8083333333333333,0.8650833754421425,0.40082644628099173,0.8618389709385421,0.8209551240504271,0.36789463417847357,0.911264277487042
8,0.823412544999635,0.7207692733382972,0.6794354838709677,0.6406737367436057,0.47835344215755854,0.6498332539304431,0.8099039919151086,0.7666666666666667,0.7230924709449217,0.24210526315789474,0.7255836112434493,0.9035635526475222,0.8702290076335878,0.8126984126984127,0.7152941176470589,0.827060505002382,0.857288635393629,0.8169014084507042,0.7327823691460055,0.46353646353646355,0.7441638875655073,0.7133154743145288,0.3473684210526316,0.874251497005988,0.1736842105263158,0.8504049547403526,0.8057816446814483,0.3968253968253968,0.8944007858546169,0.16501650165016502,0.8794664125774179,0.9099292572006064,0.8416666666666667,0.8610409297625063,0.40725806451612906,0.8599333015721772,0.8172216899273058,0.3778925804559408,0.9357444426171719
9,0.8063617099684347,0.7250096844626004,0.717741935483871,0.6175920149719276,0.48600682593856653,0.6412577417818008,0.8065394980629946,0.775,0.7054067710965134,0.23366834170854273,0.7093854216293473,0.9042336120198716,0.8874045801526718,0.7796825396825396,0.6961077844311377,0.806574559313959,0.8614189267838436,0.8204225352112676,0.7460055096418733,0.47648261758691207,0.7560743211052883,0.7054837693034982,0.35789473684210527,0.8368263473053892,0.14912280701754385,0.8151500714626012,0.8006049833161817,0.49206349206349204,0.8777013752455796,0.18075801749271136,0.8661267270128633,0.9101061141990906,0.85,0.8534613441131885,0.3984375,0.8532634587899,0.816199512592583,0.3743691277393449,0.9330285855166511
10,0.7907046862224141,0.7242456180951039,0.7056451612903226,0.6375545851528385,0.4905395935529082,0.653644592663173,0.8073858851271686,0.7583333333333333,0.718544719555331,0.23697916666666666,0.7208194378275369,0.9048588392099842,0.8549618320610687,0.8203174603174603,0.7139442231075698,0.828966174368747,0.8613355061498469,0.7992957746478874,0.7454545454545455,0.46659815005138744,0.7527393997141496,0.6927460867738207,0.4105263157894737,0.7989021956087824,0.1452513966480447,0.7813244402096237,0.8147706364798702,0.42857142857142855,0.9106090373280943,0.19852941176470587,0.896141019533111,0.907318511032508,0.8083333333333333,0.8807478524507327,0.4282560706401766,0.8766079085278704,0.8160944404097574,0.38287114463306565,0.9589717912355907
11,0.7734670459251749,0.7218433682812468,0.7016129032258065,0.6138490330630069,0.47573479152426523,0.6345878989995236,0.8038571669193195,0.7166666666666667,0.7331985851440121,0.23433242506811988,0.7322534540257265,0.9050333212165272,0.9103053435114504,0.766984126984127,0.6973684210526315,0.8027632205812292,0.8565359096729137,0.7922535211267606,0.7393939393939394,0.45824847250509165,0.7465459742734636,0.7055468011345729,0.4,0.8423153692614771,0.16926503340757237,0.8222963315864698,0.8129853120029936,0.5079365079365079,0.8899803536345776,0.2006269592476489,0.8785135778942353,0.9117273033518614,0.8,0.877210712481051,0.41830065359477125,0.8727965697951405,0.8167898832256336,0.37912525091430016,0.9589608081072044
