epoch,train_loss,class_0_auroc,class_0_sensitivity,class_0_specificity,class_0_f1,class_0_accuracy,class_1_auroc,class_1_sensitivity,class_1_specificity,class_1_f1,class_1_accuracy,class_2_auroc,class_2_sensitivity,class_2_specificity,class_2_f1,class_2_accuracy,class_3_auroc,class_3_sensitivity,class_3_specificity,class_3_f1,class_3_accuracy,class_4_auroc,class_4_sensitivity,class_4_specificity,class_4_f1,class_4_accuracy,class_5_auroc,class_5_sensitivity,class_5_specificity,class_5_f1,class_5_accuracy,class_6_auroc,class_6_sensitivity,class_6_specificity,class_6_f1,class_6_accuracy,macro_auroc,macro_f1,val_loss
0,0.9529350215265133,0.7113493741400718,0.6447811447811448,0.6737541528239203,0.5217983651226158,0.6655550262029538,0.7679951060498464,0.5423728813559322,0.7531549722362443,0.19076005961251863,0.74130538351596,0.8812964982430632,0.7251908396946565,0.8507936507936508,0.6672519754170325,0.8194378275369223,0.8585625160976447,0.8144578313253013,0.7482185273159145,0.5743415463041631,0.7613149118627918,0.6834643902538526,0.46938775510204084,0.776111944027986,0.1554054054054054,0.7617913292043831,0.7696921564178202,0.4,0.8618485742379548,0.13978494623655913,0.8475464506908051,0.8734167087754758,0.7916666666666666,0.8281960586154623,0.34234234234234234,0.8261076703191996,0.7922538214253964,0.370240662920091,0.9720332554943962
1,0.8960309677397051,0.733567121939215,0.7996632996632996,0.5408637873754153,0.5397727272727273,0.6141019533111005,0.8110267883879909,0.7966101694915254,0.6532054517920243,0.20912124582869857,0.6612672701286327,0.8902992851084455,0.8606870229007634,0.7733333333333333,0.6771771771771772,0.7951405431157694,0.8573977620696563,0.8506024096385543,0.7090261282660333,0.56120826709062,0.7370176274416389,0.6962590133504676,0.5510204081632653,0.6926536731634183,0.1408083441981747,0.6860409718913768,0.7697980485591106,0.4307692307692308,0.8829891838741396,0.1691842900302115,0.8689852310624107,0.9035792487788445,0.8583333333333333,0.831733198585144,0.37050359712230213,0.8332539304430682,0.8088467525991042,0.38111080695998734,0.8989190978342831
2,0.8716352637155825,0.7370236137677998,0.6919191919191919,0.653156146179402,0.5383104125736738,0.6641257741781801,0.8147913654292045,0.7966101694915254,0.6597677940434125,0.21218961625282168,0.6674606955693188,0.8953180661577609,0.8702290076335878,0.7771428571428571,0.6851990984222389,0.800381133873273,0.863074149328907,0.8481927710843373,0.7167458432304038,0.5659163987138264,0.7427346355407337,0.7005425858499321,0.5612244897959183,0.7186406796601699,0.15363128491620112,0.7112910909957122,0.828742152635958,0.5076923076923077,0.8633235004916421,0.17553191489361702,0.8523106241067174,0.8955112009432373,0.7916666666666666,0.8504295098534613,0.37181996086105673,0.8470700333492139,0.8192861620161143,0.3860855266619194,0.8725662298461493
3,0.8495509442186774,0.7402317751154961,0.6750841750841751,0.6677740863787376,0.5364548494983278,0.6698427822772749,0.7995319946269218,0.7288135593220338,0.7082281675921251,0.21994884910485935,0.7093854216293473,0.893953713801042,0.8244274809160306,0.8215873015873015,0.698464025869038,0.8222963315864698,0.8620066966202101,0.7542168674698795,0.7785035629453682,0.5685740236148955,0.7737017627441639,0.7013126090016215,0.40816326530612246,0.8125937031484258,0.15594541910331383,0.7937112910909957,0.7919295060887981,0.47692307692307695,0.8647984267453294,0.16711590296495957,0.8527870414483087,0.9100640053899276,0.8416666666666667,0.8448711470439616,0.38257575757575757,0.8446879466412578,0.8141471858062882,0.38986840396159306,0.920861351881895
4,0.8322227652051056,0.7462230276183764,0.7255892255892256,0.6431893687707642,0.5518565941101152,0.6665078608861362,0.8036944190145365,0.7796610169491526,0.690560323069157,0.2235722964763062,0.6955693187232015,0.9002835332606325,0.8625954198473282,0.8095238095238095,0.7084639498432602,0.822772748928061,0.870855393068712,0.8409638554216867,0.7648456057007126,0.6017241379310345,0.7798951881848499,0.7019908413140369,0.5714285714285714,0.6846576711644178,0.14267515923566879,0.6793711291090996,0.8268587852658649,0.47692307692307695,0.8736479842674533,0.17563739376770537,0.8613625535969509,0.9006990062321037,0.8,0.864578069732188,0.39669421487603307,0.8608861362553597,0.8215150008248947,0.4000891066057319,0.8805041841349754
5,0.8137828326037335,0.747772296609506,0.7693602693602694,0.5906976744186047,0.5482903419316136,0.6412577417818008,0.8143635725836122,0.7796610169491526,0.6900555275113579,0.22330097087378642,0.6950929013816103,0.9000642190718526,0.8683206106870229,0.7955555555555556,0.6994619523443505,0.8137208194378276,0.872439401310706,0.8506024096385543,0.7553444180522565,0.5983050847457627,0.7741781800857551,0.7241277320523412,0.5306122448979592,0.783608195902049,0.1783876500857633,0.771796093377799,0.8116556992663188,0.5384615384615384,0.8647984267453294,0.18666666666666668,0.8546927108146737,0.9012337881084723,0.8583333333333333,0.8029307731177362,0.3360522022838499,0.8060981419723678,0.8245223870004013,0.39578069556168466,0.8852557765693537
6,0.7929211549490743,0.7541349262279494,0.6464646464646465,0.7282392026578073,0.5537130497476568,0.7050976655550262,0.8222477947278809,0.6949152542372882,0.7511357900050479,0.23665223665223664,0.7479752262982372,0.898671998061311,0.8435114503816794,0.819047619047619,0.706634692246203,0.8251548356360171,0.8722762785107174,0.8361445783132531,0.745249406175772,0.5827036104114189,0.7632205812291567,0.7431386347642506,0.5102040816326531,0.8140929535232384,0.19230769230769232,0.7999047165316817,0.8528326147795174,0.46153846153846156,0.9380530973451328,0.27149321266968324,0.9232968080038113,0.9123884116557184,0.7833333333333333,0.8832743810005053,0.42247191011235957,0.8775607432110529,0.8365272369610492,0.42371091487817863,0.8901206500874411
7,0.7675374081310611,0.753949237670168,0.7323232323232324,0.653156146179402,0.5609284332688588,0.6755597903763697,0.8034719667348283,0.7542372881355932,0.6910651186269561,0.21733821733821734,0.6946164840400191,0.9038810129649825,0.8931297709923665,0.7822222222222223,0.701123595505618,0.8099094807050977,0.8726554674756032,0.8530120481927711,0.7416864608076009,0.5880398671096345,0.763696998570748,0.7521290375220554,0.41836734693877553,0.8515742128935532,0.18807339449541285,0.8313482610767032,0.8504802964979957,0.6153846153846154,0.8775811209439528,0.22598870056497175,0.8694616484040019,0.9103377126494863,0.875,0.8383021728145528,0.3853211009174312,0.8404001905669366,0.8352721045021599,0.40954475845716354,0.8881596674687412
8,0.7426507081840344,0.7583621374319048,0.7710437710437711,0.6179401993355482,0.56299938537185,0.6612672701286327,0.7903815056596993,0.7542372881355932,0.6991418475517416,0.22166874221668742,0.7022391615054788,0.9013897976493396,0.8645038167938931,0.8082539682539682,0.7083659108678655,0.8222963315864698,0.8718384225739061,0.8530120481927711,0.7494061757719715,0.5944584382871536,0.769890424011434,0.7702628277697885,0.5816326530612245,0.8345827086456772,0.2345679012345679,0.822772748928061,0.8605778685424703,0.5384615384615384,0.9351032448377581,0.3017241379310345,0.9228203906622201,0.9028507663803267,0.8083333333333333,0.8665992925720061,0.40332640332640335,0.8632682229633158,0.8365233322867763,0.43244441703365183,0.9115826049664294
9,0.7111018478370155,0.7560376746423257,0.7121212121212122,0.667109634551495,0.5573122529644269,0.6798475464506908,0.7997672806919978,0.5847457627118644,0.779404341241797,0.22115384615384615,0.7684611719866603,0.9023203683509027,0.8931297709923665,0.7885714285714286,0.7064150943396227,0.81467365412101,0.8689079357811293,0.8144578313253013,0.7612826603325415,0.5852813852813853,0.771796093377799,0.7444543034605147,0.4387755102040816,0.8465767116441779,0.19196428571428573,0.8275369223439734,0.8388472884048105,0.5538461538461539,0.9031465093411996,0.24161073825503357,0.8923296808003811,0.8956038403233955,0.775,0.875189489641233,0.4043478260869565,0.8694616484040019,0.8294198130935823,0.41544077554222236,0.9677442778798159
